dataset;queryId;window;relation;ts;selectivity;query_time
finbench;4;30;before;balance;884665;15491
finbench;4;50;before;balance;884665;14821
finbench;4;70;before;balance;884665;13672
finbench;4;30;meets;balance;884665;4778
finbench;4;50;meets;balance;884665;4970
finbench;4;70;meets;balance;884665;4703
finbench;4;30;equal;balance;884665;5361
finbench;4;50;equal;balance;884665;5669
finbench;4;70;equal;balance;884665;5239
nyc;1;30;overlaps;num_bikes_available;2070;16157
nyc;1;50;overlaps;num_bikes_available;2070;30784
nyc;1;70;overlaps;num_bikes_available;2070;47967
nyc;1;30;overlaps;num_docks_disabled;2070;39
nyc;1;50;overlaps;num_docks_disabled;2070;26
nyc;1;70;overlaps;num_docks_disabled;2070;26
nyc;1;30;overlaps;num_bikes_disabled;2070;3810
nyc;1;50;overlaps;num_bikes_disabled;2070;5389
nyc;1;70;overlaps;num_bikes_disabled;2070;5527
nyc;1;30;overlaps;num_ebikes_available;2070;16091
nyc;1;50;overlaps;num_ebikes_available;2070;30566
nyc;1;70;overlaps;num_ebikes_available;2070;47724
nyc;1;30;before;num_bikes_available;2070;55675
nyc;1;50;before;num_bikes_available;2070;66601
nyc;1;70;before;num_bikes_available;2070;71556
nyc;1;30;before;num_docks_disabled;2070;25
nyc;1;50;before;num_docks_disabled;2070;24
nyc;1;70;before;num_docks_disabled;2070;24
nyc;1;30;before;num_bikes_disabled;2070;2867
nyc;1;50;before;num_bikes_disabled;2070;2045
nyc;1;70;before;num_bikes_disabled;2070;1368
nyc;1;30;before;num_ebikes_available;2070;53736
nyc;1;50;before;num_ebikes_available;2070;63793
nyc;1;70;before;num_ebikes_available;2070;68248
nyc;1;30;meets;num_bikes_available;2070;3018
nyc;1;50;meets;num_bikes_available;2070;2859
nyc;1;70;meets;num_bikes_available;2070;2644
nyc;1;30;meets;num_docks_disabled;2070;25
nyc;1;50;meets;num_docks_disabled;2070;24
nyc;1;70;meets;num_docks_disabled;2070;24
nyc;1;30;meets;num_bikes_disabled;2070;441
nyc;1;50;meets;num_bikes_disabled;2070;395
nyc;1;70;meets;num_bikes_disabled;2070;374
nyc;1;30;meets;num_ebikes_available;2070;2917
nyc;1;50;meets;num_ebikes_available;2070;2770
nyc;1;70;meets;num_ebikes_available;2070;2549
nyc;1;30;equal;num_bikes_available;2070;3601
nyc;1;50;equal;num_bikes_available;2070;3361
nyc;1;70;equal;num_bikes_available;2070;3122
nyc;1;30;equal;num_docks_disabled;2070;25
nyc;1;50;equal;num_docks_disabled;2070;24
nyc;1;70;equal;num_docks_disabled;2070;24
nyc;1;30;equal;num_bikes_disabled;2070;488
nyc;1;50;equal;num_bikes_disabled;2070;424
nyc;1;70;equal;num_bikes_disabled;2070;381
nyc;1;30;equal;num_ebikes_available;2070;3519
nyc;1;50;equal;num_ebikes_available;2070;3304
nyc;1;70;equal;num_ebikes_available;2070;3085
nyc;2;30;overlaps;num_bikes_available;5626;19184
nyc;2;50;overlaps;num_bikes_available;5626;34993
nyc;2;70;overlaps;num_bikes_available;5626;53997
nyc;2;30;overlaps;num_docks_disabled;5626;36
nyc;2;50;overlaps;num_docks_disabled;5626;27
nyc;2;70;overlaps;num_docks_disabled;5626;27
nyc;2;30;overlaps;num_bikes_disabled;5626;4114
nyc;2;50;overlaps;num_bikes_disabled;5626;5403
nyc;2;70;overlaps;num_bikes_disabled;5626;5201
nyc;2;30;overlaps;num_ebikes_available;5626;18767
nyc;2;50;overlaps;num_ebikes_available;5626;34273
nyc;2;70;overlaps;num_ebikes_available;5626;52594
nyc;2;30;before;num_bikes_available;5626;73190
nyc;2;50;before;num_bikes_available;5626;82294
nyc;2;70;before;num_bikes_available;5626;85635
nyc;2;30;before;num_docks_disabled;5626;27
nyc;2;50;before;num_docks_disabled;5626;24
nyc;2;70;before;num_docks_disabled;5626;24
nyc;2;30;before;num_bikes_disabled;5626;2841
nyc;2;50;before;num_bikes_disabled;5626;1734
nyc;2;70;before;num_bikes_disabled;5626;1426
nyc;2;30;before;num_ebikes_available;5626;71984
nyc;2;50;before;num_ebikes_available;5626;81040
nyc;2;70;before;num_ebikes_available;5626;346724
nyc;2;30;meets;num_bikes_available;5626;3006
nyc;2;50;meets;num_bikes_available;5626;2881
nyc;2;70;meets;num_bikes_available;5626;2663
nyc;2;30;meets;num_docks_disabled;5626;24
nyc;2;50;meets;num_docks_disabled;5626;23
nyc;2;70;meets;num_docks_disabled;5626;23
nyc;2;30;meets;num_bikes_disabled;5626;398
